T U Err_U M Err_M Cv Err_Cv X Err_X
1.67 -26.8037 0.00979422 0.009356 0.0438309 12.7715 0.0189401 99.0895 0.395193 
1.68 -26.6783 0.00914739 0.004768 0.0437677 12.6734 0.0200642 97.751 0.37724 
1.69 -26.5532 0.00841282 0.011056 0.0418939 12.5696 0.0211498 96.537 0.371317 
1.7 -26.4283 0.00823185 0.011618 0.041004 12.4686 0.0207371 95.3537 0.352785 
1.71 -26.3046 0.00815961 0.010736 0.0402581 12.3615 0.021669 94.0953 0.354006 
1.72 -26.1833 0.00895694 0.020112 0.0393909 12.2588 0.0214281 92.9694 0.349947 
1.73 -26.0595 0.00852424 0.014508 0.0391788 12.1644 0.0205405 91.8973 0.345734 
1.74 -25.9369 0.00887067 0.013022 0.0375359 12.0705 0.0210197 90.6892 0.331136 
1.75 -25.8163 0.00889874 0.011164 0.0395552 11.9758 0.0210291 89.5357 0.32118 
1.76 -25.6953 0.00896782 0.016252 0.0383948 11.8811 0.0187156 88.4559 0.291362 
1.77 -25.577 0.00871471 0.015692 0.0386423 11.7983 0.0173869 87.4653 0.280295 
1.78 -25.4605 0.00895209 0.015692 0.038135 11.6972 0.0174697 86.4226 0.281732 
1.79 -25.3423 0.00864047 0.022884 0.0370137 11.5997 0.0177364 85.3492 0.269047 
1.8 -25.2265 0.0086894 0.026408 0.0370072 11.4983 0.0188417 84.3726 0.263366 
1.81 -25.1154 0.00861574 0.021592 0.0362878 11.4069 0.0177747 83.379 0.259767 
1.82 -25.0044 0.00796949 0.025762 0.0360198 11.3147 0.0174093 82.3857 0.259132 
1.83 -24.8933 0.00798904 0.0268 0.0350861 11.2244 0.0176483 81.4237 0.254802 
1.84 -24.7816 0.00809626 0.029192 0.0369835 11.134 0.0176146 80.6209 0.251856 
1.85 -24.6726 0.00786917 0.034216 0.0356528 11.0436 0.0174002 79.7091 0.259812 
1.86 -24.5613 0.00786921 0.021502 0.0348885 10.9593 0.0158939 78.8413 0.25006 
1.87 -24.4529 0.00782377 0.021108 0.0352486 10.8731 0.0149455 78.0236 0.251443 
1.88 -24.3442 0.0077709 0.019704 0.034271 10.7848 0.0158905 77.1552 0.25248 
1.89 -24.2369 0.00762401 0.01861 0.0330227 10.6983 0.0161527 76.3461 0.251979 
1.9 -24.131 0.00779664 0.017438 0.0329619 10.6131 0.0157394 75.4971 0.251561 
1.91 -24.0272 0.0081431 0.022168 0.0336563 10.5304 0.0162675 74.7381 0.244342 
1.92 -23.9245 0.0086116 0.025972 0.0329852 10.4535 0.0176323 73.939 0.243385 
1.93 -23.82 0.00798697 0.022022 0.0318161 10.375 0.0174762 73.1668 0.245832 
1.94 -23.7191 0.00758034 0.024958 0.0322415 10.2931 0.0174096 72.416 0.23256 
1.95 -23.6151 0.00731866 0.025286 0.0313834 10.2199 0.0177962 71.6468 0.21568 
1.96 -23.514 0.00750605 0.023974 0.0323129 10.1358 0.0178749 70.8975 0.22266 
1.97 -23.413 0.00764631 0.026588 0.0311364 10.0612 0.0177532 70.1119 0.216661 
1.98 -23.3143 0.0072992 0.027654 0.0322974 9.98647 0.0169117 69.4565 0.216796 
1.99 -23.2132 0.00665721 0.03066 0.034408 9.9082 0.0160676 68.7421 0.216763 
2 -23.1153 0.00651273 0.027866 0.033795 9.83217 0.0155581 68.0498 0.214101 
