T U Err_U M Err_M Cv Err_Cv X Err_X
1.39 -30.8157 0.0115261 0.081302 0.0298483 15.9893 0.0261793 151.079 0.543004 
1.4 -30.6526 0.0118124 0.02038 0.0488762 15.873 0.0217941 148.214 0.420006 
1.41 -30.4986 0.0110703 -0.096596 0.0571001 15.7672 0.0196876 145.688 0.365845 
1.42 -30.3447 0.00989911 0.021604 0.047739 15.6276 0.0198194 143.429 0.425842 
1.43 -30.192 0.0120532 -0.002508 0.04455 15.5311 0.021814 140.85 0.33192 
1.44 -30.0386 0.0124293 -0.032294 0.0446821 15.3955 0.0249307 138.642 0.434485 
1.45 -29.88 0.0122031 -0.082454 0.0448789 15.2615 0.0226863 136.217 0.363166 
1.46 -29.7328 0.0101064 -0.022864 0.042241 15.1558 0.0242934 134.797 0.431925 
1.47 -29.5835 0.0105005 -0.033238 0.037368 15.0039 0.0258479 132.264 0.361817 
1.48 -29.4333 0.0109853 -0.067732 0.0286519 14.9027 0.0236364 130.752 0.394148 
1.49 -29.2857 0.00988795 0.01071 0.0462409 14.8219 0.0217458 128.942 0.353028 
1.5 -29.1362 0.011389 -0.008732 0.0377492 14.677 0.025113 126.615 0.284272 
1.51 -28.9898 0.012 0.028516 0.0406613 14.5262 0.0237745 124.614 0.496916 
1.52 -28.848 0.0112653 -0.036654 0.0300565 14.4157 0.0194396 122.964 0.359651 
1.53 -28.7 0.0114224 0.009336 0.0446715 14.3166 0.0172275 120.927 0.263087 
1.54 -28.5629 0.0117205 -0.074694 0.0410844 14.2023 0.0182778 119.071 0.262642 
1.55 -28.4222 0.0129509 -0.004038 0.0365166 14.079 0.0209181 117.342 0.271694 
1.56 -28.2709 0.0130331 -0.011804 0.0409759 13.9819 0.0227247 115.368 0.385232 
1.57 -28.1328 0.0119414 0.03123 0.0343413 13.8561 0.0206137 113.454 0.270262 
1.58 -27.9942 0.0129286 0.004688 0.0374567 13.7536 0.0219043 112.056 0.288657 
1.59 -27.8587 0.0115511 -0.0147 0.0421836 13.6401 0.0213386 110.968 0.293498 
1.6 -27.7239 0.00964492 0.03937 0.0432046 13.5321 0.0200531 108.866 0.280758 
1.61 -27.5832 0.0113014 0.000364 0.0422668 13.4108 0.0141 107.795 0.233524 
1.62 -27.4584 0.0113315 -0.005394 0.0358532 13.305 0.0142419 106.082 0.302925 
1.63 -27.3309 0.0113872 -0.007102 0.039615 13.1887 0.0166663 104.588 0.289612 
1.64 -27.1912 0.0125569 0.016716 0.0278915 13.0948 0.014034 102.916 0.273715 
1.65 -27.0634 0.012028 0.047398 0.0204357 12.9916 0.0143546 101.489 0.231586 
1.66 -26.9259 0.0115713 0.076898 0.0364277 12.8877 0.0130141 100.32 0.260362 
1.67 -26.8014 0.0122304 0.009304 0.041342 12.7779 0.0153886 98.9838 0.281243 
1.68 -26.6791 0.011397 -0.038034 0.0345415 12.681 0.0155063 97.8884 0.307 
1.69 -26.551 0.0109027 0.000506 0.0398677 12.5717 0.013989 96.4062 0.297402 
1.7 -26.4225 0.011569 0.061986 0.0327264 12.4506 0.0143108 95.1891 0.268812 
1.71 -26.3008 0.0112837 -0.026348 0.0313372 12.3466 0.0169959 94.0387 0.335424 
1.72 -26.1756 0.0107247 0.003786 0.0240559 12.2575 0.0188899 92.9857 0.247939 
1.73 -26.0551 0.011356 -0.00053 0.0393975 12.1617 0.0189834 92.0908 0.193514 
1.74 -25.9388 0.0111265 -0.00211 0.0327229 12.0657 0.0174776 90.566 0.184688 
1.75 -25.8208 0.0101698 -0.050194 0.0382714 11.9693 0.0226079 89.595 0.248123 
1.76 -25.6994 0.0101237 -0.025468 0.0318052 11.8721 0.0198492 88.5254 0.183675 
1.77 -25.5771 0.0078803 0.030606 0.0217287 11.7739 0.0208264 87.5169 0.217529 
1.78 -25.4728 0.00757409 -0.031494 0.0291188 11.6841 0.0222304 86.5866 0.161177 
1.79 -25.351 0.00884846 -0.031748 0.0245884 11.5838 0.0215815 85.3849 0.250616 
1.8 -25.2318 0.00970543 -0.026262 0.0340712 11.4863 0.0177696 84.2616 0.205702 
1.81 -25.1229 0.0100032 -0.017826 0.0338996 11.3868 0.0169633 83.1648 0.204272 
1.82 -25.0069 0.00890212 -0.015594 0.0315356 11.3095 0.0196706 82.2891 0.179755 
1.83 -24.8956 0.00946387 -0.00409 0.0289256 11.2169 0.0175081 81.1832 0.216281 
1.84 -24.7796 0.00873294 -0.057224 0.0311332 11.1357 0.0168308 80.5131 0.151254 
1.85 -24.6681 0.00872392 0.070406 0.0293956 11.0439 0.0175518 79.5383 0.218337 
1.86 -24.5656 0.0095189 0.012226 0.0391294 10.9577 0.0189235 78.966 0.136835 
1.87 -24.451 0.00837593 -0.00729 0.0196676 10.8561 0.0184759 78.1427 0.181536 
1.88 -24.3453 0.00907633 0.015888 0.0337358 10.7805 0.0190883 77.17 0.233963 
1.89 -24.2349 0.00831818 -0.014892 0.0232941 10.6991 0.0147769 76.5433 0.142191 
1.9 -24.1283 0.0109592 0.066086 0.0242145 10.5924 0.0150067 75.287 0.213408 
1.91 -24.0229 0.0105957 -0.001428 0.0279842 10.5102 0.0155385 74.5841 0.19553 
1.92 -23.9179 0.00961394 0.006242 0.0270132 10.4324 0.0197378 73.5762 0.164805 
1.93 -23.8103 0.00941229 -0.022736 0.0301822 10.3552 0.0192587 73.1455 0.161844 
1.94 -23.7137 0.00939248 0.03965 0.0319399 10.279 0.016865 72.2903 0.206407 
1.95 -23.6076 0.00953283 0.01947 0.0223767 10.1922 0.018611 71.2475 0.175776 
1.96 -23.5037 0.00886896 -0.011784 0.0230218 10.115 0.017806 70.7454 0.150127 
1.97 -23.4001 0.00948923 -0.004582 0.024825 10.0168 0.0175245 69.9479 0.200338 
1.98 -23.3061 0.00842795 -0.00196 0.0230579 9.94821 0.0193751 69.1932 0.14452 
1.99 -23.2054 0.00842515 -0.021536 0.03559 9.87639 0.0140581 68.3795 0.128003 
2 -23.1078 0.00817028 0.04429 0.0278602 9.80635 0.014414 67.8831 0.166826 
