beta mean unc mu sigma
6.48628 -0.336453 0.00713364 0.765278 0.779091
6.55179 -0.328065 0.00806351 0.795277 0.774173
6.61797 -0.228123 0.013666 0.85456 0.803402
6.68482 -0.229885 0.0105568 0.898828 0.772175
6.75234 -0.330905 0.00723626 0.857664 0.743378
6.82055 -0.3017 0.00889668 0.825691 0.764953
6.88944 -0.308926 0.00951157 0.785659 0.783913
6.95903 -0.35616 0.00651276 0.770543 0.755257
7.02933 -0.361512 0.00737604 0.839358 0.725759
7.10033 -0.401455 0.00481795 0.80141 0.705002
7.17205 -0.364716 0.0063703 0.81925 0.726147
7.2445 -0.355335 0.00692876 0.764241 0.749307
7.31767 -0.353393 0.00687416 0.738452 0.755113
7.39159 -0.33138 0.00654692 0.789673 0.77058
7.46625 -0.338523 0.00688944 0.741693 0.763972
7.54167 -0.338312 0.00831238 0.735932 0.772712
7.61785 -0.320194 0.00929965 0.766661 0.781713
7.6948 -0.339988 0.00666821 0.71046 0.798675
7.77252 -0.346296 0.00617685 0.749112 0.7722
7.85103 -0.356434 0.00675924 0.762768 0.755174
7.93033 -0.376912 0.00516991 0.740258 0.732063
8.01044 -0.365637 0.0067309 0.767098 0.742932
8.09135 -0.36137 0.00600626 0.769744 0.738674
8.17308 -0.367801 0.0057927 0.770789 0.743095
8.25564 -0.371893 0.00622495 0.763401 0.738018
8.33903 -0.355134 0.0056082 0.744138 0.761312
8.42326 -0.342665 0.00446477 0.690818 0.762864
8.50835 -0.343922 0.00832812 0.737821 0.772832
8.59429 -0.3284 0.00811064 0.747777 0.786922
8.6811 -0.339635 0.00689932 0.733467 0.771279
8.76879 -0.35455 0.00579853 0.724624 0.755366
8.85736 -0.351662 0.00607801 0.687055 0.750965
8.94683 -0.367806 0.00472384 0.692924 0.736994
9.0372 -0.367806 0.00472384 0.692924 0.736994
9.12849 -0.366314 0.0049057 0.718812 0.742161
9.22069 -0.359213 0.00478655 0.678741 0.745894
9.31383 -0.38287 0.00441432 0.699381 0.7325
9.40791 -0.38287 0.00441432 0.699381 0.7325
9.50294 -0.385266 0.00443063 0.738817 0.720342
9.59893 -0.390607 0.00429866 0.726361 0.716976
9.69589 -0.412073 0.00377191 0.774047 0.698927
9.79383 -0.416781 0.0042766 0.798244 0.681084
9.89275 -0.422881 0.00438797 0.815375 0.666588
9.99268 -0.437048 0.00274031 0.770888 0.642253
