#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
36 304.455 80.1504 5.21328 0.00325382 5.2075 0.00307519
37 322.998 80.1293 5.21318 0.00316638 5.20782 0.00300808
38 316.453 78.2663 5.21376 0.00313642 5.20786 0.00292813
39 309.558 76.5442 5.2129 0.00317291 5.20804 0.00285768
40 302.13 74.9749 5.213 0.00309407 5.20796 0.00278638
41 321.883 75.7444 5.21298 0.00301769 5.20758 0.00274476
42 314.446 74.2921 5.2129 0.00294607 5.20733 0.00268962
43 307.387 72.8864 5.21291 0.00287674 5.20824 0.00277836
44 300.5 71.5429 5.21313 0.00281888 5.2079 0.00273528
45 313.391 71.1132 5.21313 0.00275553 5.20779 0.00267611
46 330.199 71.5522 5.2128 0.00271479 5.20774 0.00261782
47 326.85 70.0934 5.21248 0.00267553 5.20836 0.00263592
48 327.955 68.6265 5.21214 0.00264196 5.2083 0.00258106
49 322.007 67.474 5.21213 0.00258749 5.20788 0.00256278
50 316.053 66.3783 5.21237 0.0025464 5.20702 0.00265415
51 310.001 65.3446 5.2127 0.0025181 5.20698 0.00260185
52 324.332 65.6586 5.21186 0.00260969 5.20704 0.00255194
53 341.125 66.5611 5.21148 0.00258698 5.20696 0.0025045
54 347.111 65.5906 5.21245 0.00271711 5.20801 0.00266964
55 357.999 65.3011 5.21252 0.00266817 5.2079 0.00262265
56 351.727 64.4304 5.21237 0.00262439 5.20751 0.00260549
57 345.779 63.5688 5.21145 0.00273639 5.20744 0.00256018
58 355.797 63.2614 5.21119 0.00270164 5.20741 0.00251594
59 349.867 62.4621 5.2112 0.00265546 5.20752 0.0024756
60 344.914 61.6116 5.21101 0.00261751 5.20785 0.00245669
61 353.84 61.2472 5.21092 0.00257591 5.20806 0.0024246
62 348.286 60.5067 5.21079 0.00253715 5.2079 0.00239069
63 343.051 59.7683 5.21068 0.00249923 5.20809 0.00236007
64 355.81 60.1948 5.21078 0.00246228 5.20825 0.00232893
65 350.408 59.5072 5.21081 0.00242419 5.20841 0.00229808
66 345.37 58.8148 5.21051 0.00240487 5.20796 0.00230716
67 340.316 58.1503 5.21012 0.00240072 5.2078 0.00227833
68 336.079 57.4453 5.21033 0.00237416 5.20781 0.00224463
69 331.399 56.7998 5.20999 0.00236476 5.20789 0.00221333
70 328.978 56.0348 5.21028 0.00234911 5.20796 0.00218249
71 345.074 57.537 5.21034 0.00231665 5.2075 0.00219931
72 343.35 56.7585 5.20999 0.00231186 5.20738 0.00217206
73 338.875 56.1541 5.21018 0.00228846 5.20786 0.00219659
74 334.358 55.574 5.21023 0.00225778 5.20786 0.00216671
75 340.946 55.2225 5.21018 0.00222804 5.20798 0.00214101
76 338.775 54.5343 5.20993 0.00221215 5.20766 0.00213589
77 335.001 53.9535 5.20967 0.00219869 5.20752 0.00211256
78 330.978 53.4091 5.20966 0.00217034 5.20729 0.00209806
79 326.906 52.8856 5.20971 0.00214327 5.20688 0.00211146
80 338.134 53.4138 5.20974 0.00211649 5.20663 0.00210075
81 334.03 52.9097 5.20973 0.00209024 5.20674 0.00207759
82 330.308 52.3929 5.20956 0.00207187 5.20667 0.00205327
83 326.39 51.9058 5.20917 0.0020823 5.20683 0.0020348
84 333.29 51.7463 5.20942 0.00207255 5.20708 0.00202638
85 329.423 51.2799 5.20936 0.00204888 5.20693 0.00200819
86 330.327 50.6882 5.20945 0.00202679 5.20706 0.00198888
87 326.583 50.2418 5.20941 0.0020038 5.20739 0.00199361
88 325.391 49.6819 5.2091 0.00200422 5.20705 0.00199915
89 322.031 49.2353 5.20907 0.00198191 5.2074 0.00200601
90 318.558 48.8089 5.20882 0.0019753 5.20736 0.00198392
91 315.236 48.3838 5.20865 0.00196119 5.20722 0.00196716
92 311.845 47.9749 5.20862 0.00193999 5.20772 0.00200852
93 308.632 47.5649 5.2086 0.00191907 5.2077 0.0019869
94 316.696 47.7421 5.20856 0.00189896 5.20784 0.00197105
95 313.425 47.3499 5.20875 0.00188847 5.20787 0.00195039
96 310.212 46.9642 5.20858 0.00187662 5.20769 0.00193851
97 307.225 46.5734 5.20857 0.00185722 5.2077 0.00191843
98 304.506 46.1758 5.20872 0.00184435 5.20771 0.00189882
99 301.73 45.7912 5.20829 0.00187477 5.20779 0.00188097
100 309.71 46.0279 5.20833 0.00185632 5.20792 0.00186673
