x y z R
-1.9372 -0.273273 1.8094 2.66484
-1.9372 -0.273273 1.8094 2.66484
-2.84372 -0.268615 2.09595 3.54286
-1.7991 0.091218 2.04641 2.72633
-1.7991 0.091218 2.04641 2.72633
-1.7991 0.091218 2.04641 2.72633
-2.11668 -0.188757 1.27292 2.47716
-2.2419 -0.843331 0.365919 2.42306
-2.27413 -0.490025 1.00169 2.53282
-2.27413 -0.490025 1.00169 2.53282
-3.14526 0.281205 1.03717 3.32377
-3.43962 -0.065697 -0.115957 3.4422
-3.34435 0.161062 -0.578491 3.39783
-3.3865 -0.815294 0.331811 3.49902
-4.53773 -0.538894 1.29271 4.74895
-3.67138 -0.340686 2.39075 4.3944
-2.77521 -0.219175 2.16248 3.52508
-1.72409 0.64749 2.4846 3.09273
-1.72409 0.64749 2.4846 3.09273
-1.72409 0.64749 2.4846 3.09273
-1.03229 0.290958 3.55239 3.71076
-0.138711 -0.798163 2.42946 2.56097
0.119164 -1.50609 2.28546 2.73967
-0.309324 -1.30574 2.01915 2.42437
-0.124239 -1.56003 1.44129 2.12754
0.69931 -0.819535 0.651325 1.25893
1.33688 -0.1139 0.430601 1.40912
1.33688 -0.1139 0.430601 1.40912
1.33688 -0.1139 0.430601 1.40912
1.33688 -0.1139 0.430601 1.40912
0.575208 -0.818126 0.910261 1.35232
1.35219 -1.43408 0.338084 1.99983
1.35219 -1.43408 0.338084 1.99983
1.35219 -1.43408 0.338084 1.99983
1.35219 -1.43408 0.338084 1.99983
1.71135 -1.89615 -0.0179342 2.55429
1.61333 -1.06753 -0.200909 1.94495
0.449326 -1.66846 0.627024 1.83816
0.933436 -0.62906 -0.141419 1.13447
0.933436 -0.62906 -0.141419 1.13447
0.933436 -0.62906 -0.141419 1.13447
0.933436 -0.62906 -0.141419 1.13447
1.04707 -1.06565 -1.148 1.88411
1.04707 -1.06565 -1.148 1.88411
1.04707 -1.06565 -1.148 1.88411
0.103278 -1.65581 -0.771177 1.82951
0.103278 -1.65581 -0.771177 1.82951
0.103278 -1.65581 -0.771177 1.82951
-0.808681 -1.28012 -0.0672417 1.51565
-0.808681 -1.28012 -0.0672417 1.51565
-0.808681 -1.28012 -0.0672417 1.51565
0.0266674 -1.65428 -0.0389105 1.65495
0.120634 -1.81519 0.580604 1.9096
0.158564 -2.31479 -0.276452 2.33662
0.158564 -2.31479 -0.276452 2.33662
-0.552444 -1.56015 0.924477 1.89576
0.634025 -0.634212 0.206839 0.920323
0.634025 -0.634212 0.206839 0.920323
0.113685 -1.69875 -0.204619 1.7148
0.113685 -1.69875 -0.204619 1.7148
-1.0845 -0.792416 -0.220956 1.36121
-1.78766 -0.489322 0.128696 1.85788
-1.00849 -1.18935 0.118722 1.56387
-0.89634 -1.20238 1.33618 2.00861
-0.739676 -0.502137 0.884431 1.25757
0.0316153 0.0571815 -0.285888 0.29326
0.0316153 0.0571815 -0.285888 0.29326
