#Blocks mean_1 uncer_1 mean_2 uncer_2 mean_3 uncer_3
74 4806.24 156.46 4.99965 0.00118109 5.00066 0.0010672
75 4811.79 154.459 4.99987 0.00118521 5.00085 0.00106946
76 4804.1 152.607 4.99954 0.00121565 5.00082 0.00105574
77 4786.26 151.665 4.99958 0.00120031 5.00082 0.00104194
78 4774.41 150.176 4.99963 0.00118593 5.00059 0.00105328
79 4778.66 148.324 4.99957 0.00117212 5.00052 0.00104214
80 4795.25 147.394 4.99966 0.00116074 5.00059 0.00103094
81 4806.46 145.995 4.99976 0.00115114 5.00053 0.00101954
82 4813.32 144.367 4.9998 0.0011376 5.00061 0.00100992
83 4820.33 142.788 4.99988 0.00112684 5.00064 0.000998026
84 4837.46 142.115 4.99986 0.00111367 5.00066 0.00098628
85 4852.16 141.201 5.00002 0.00111279 5.00071 0.000976368
86 4868.17 140.464 5.00004 0.00109989 5.0007 0.000965026
87 4885.3 139.893 5.00005 0.00108726 5.00092 0.000978642
88 4897.71 138.85 5.00003 0.001075 5.00082 0.000972942
89 4903.86 137.419 5.00016 0.00107049 5.00082 0.000961968
90 4907.43 135.93 5.00008 0.00106123 5.00071 0.00095822
91 4913.3 134.556 4.99997 0.0010554 5.00065 0.000949645
92 4921.28 133.325 4.99986 0.00104972 5.00087 0.000966157
93 4927 132.007 4.9999 0.00103907 5.00079 0.00095943
94 4933.81 130.773 5 0.00103322 5.00073 0.000950711
95 4943.79 129.773 4.99984 0.00103569 5.00068 0.000942117
96 4954.33 128.846 4.99999 0.00103613 5.00061 0.000935043
97 4970.83 128.574 5 0.00102544 5.00061 0.000925362
98 4999.15 130.368 4.99998 0.00101509 5.00071 0.000921071
99 5028.33 132.304 4.99994 0.00100592 5.0008 0.000915925
100 5055.46 133.754 5.00002 0.00099916 5.00076 0.000907771
